circuit_section_id,circuit_id,line_situation,voltage,circuit_section_name_normalized,circuit_name_normalized,candidate_labels,candidate_bases,match_status,appendix_indices,appendix_node_labels,appendix_base_labels,gsp_candidates,resolution_notes
105333324_122903969,113269135.1,OVERHEAD,33000.0,105333324 - 122903969,THORPE LANE NO 1 33KV LSI 4778 - BEESTON ROYDS 132/33KV 693 TEED,"[""THORPE LANE LSI"", ""BEESTON ROYDS""]","[""THORPE LANE LSI"", ""BEESTON ROYDS""]",unmatched,[],[],"[""THORPE LANE LSI"", ""BEESTON ROYDS""]","[""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge A"", ""Ferrybridge B"", ""Grimsby West"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Poppleton"", ""Saltend North"", ""Skelton Grange"", ""Thurcroft"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
113214649_180693799,113244457.51,UNDERGROUND,33000.0,CLARENDON STREET 5618 - 180693799,HULL SOUTH 5625 (CLARENDON STREET A) - CLARENDON STREET 5618,"[""CLARENDON STREET"", ""HULL SOUTH"", ""CLARENDON STREET A""]","[""CLARENDON STREET"", ""HULL SOUTH"", ""CLARENDON STREET A""]",matched,[193],"[""HULL SOUTH TRANSFORMER 2"", ""CLARENDON STREET TRANSFORMER 2""]","[""HULL SOUTH"", ""CLARENDON STREET"", ""CLARENDON STREET A""]","[""Creyke Beck""]",Unique base pair match
113214649_180693800,113244457.51,UNDERGROUND,33000.0,CLARENDON STREET 5618 - 180693800,HULL SOUTH 5625 (CLARENDON STREET A) - CLARENDON STREET 5618,"[""CLARENDON STREET"", ""HULL SOUTH"", ""CLARENDON STREET A""]","[""CLARENDON STREET"", ""HULL SOUTH"", ""CLARENDON STREET A""]",matched,[193],"[""HULL SOUTH TRANSFORMER 2"", ""CLARENDON STREET TRANSFORMER 2""]","[""HULL SOUTH"", ""CLARENDON STREET"", ""CLARENDON STREET A""]","[""Creyke Beck""]",Unique base pair match
113215166_180697856,113244464.505,UNDERGROUND,33000.0,ALFRED GELDER STREET 5923 - 180697856,HULL SOUTH 5625 (ALFRED GELDER A) - ALFRED GELDER STREET 5923,"[""ALFRED GELDER STREET"", ""HULL SOUTH"", ""ALFRED GELDER A""]","[""ALFRED GELDER STREET"", ""HULL SOUTH"", ""ALFRED GELDER A""]",matched,[798],"[""ALFRED GELDER STREET TRANSFORMER 1"", ""HULL SOUTH TRANSFORMER 1""]","[""ALFRED GELDER A"", ""ALFRED GELDER STREET"", ""HULL SOUTH""]","[""Creyke Beck""]",Unique base pair match
113215166_180697869,113244464.505,UNDERGROUND,33000.0,ALFRED GELDER STREET 5923 - 180697869,HULL SOUTH 5625 (ALFRED GELDER A) - ALFRED GELDER STREET 5923,"[""ALFRED GELDER STREET"", ""HULL SOUTH"", ""ALFRED GELDER A""]","[""ALFRED GELDER STREET"", ""HULL SOUTH"", ""ALFRED GELDER A""]",matched,[798],"[""ALFRED GELDER STREET TRANSFORMER 1"", ""HULL SOUTH TRANSFORMER 1""]","[""ALFRED GELDER A"", ""ALFRED GELDER STREET"", ""HULL SOUTH""]","[""Creyke Beck""]",Unique base pair match
113215413_122525154,113245660.213,UNDERGROUND,132000.0,CORNWALL STREET 6024 - 122525154,SCULCOATES B 8460 (CORNWALL 2 A) - CORNWALL STREET 6024 TEED,"[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]","[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]",unmatched,[],[],"[""SCULCOATES B"", ""CORNWALL STREET"", ""CORNWALL A""]","[""Blyth 66kV"", ""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge A"", ""Ferrybridge B"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Pitsmoor 1/2"", ""Pitsmoor 3/4"", ""Saltend North"", ""Sheffield City"", ""Skelton Grange"", ""South Shields"", ""Stella North"", ""Tynemouth"", ""West Boldon"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
113215413_122525155,113245660.213,UNDERGROUND,132000.0,CORNWALL STREET 6024 - 122525155,SCULCOATES B 8460 (CORNWALL 2 A) - CORNWALL STREET 6024 TEED,"[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]","[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]",unmatched,[],[],"[""SCULCOATES B"", ""CORNWALL STREET"", ""CORNWALL A""]","[""Blyth 66kV"", ""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge A"", ""Ferrybridge B"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Pitsmoor 1/2"", ""Pitsmoor 3/4"", ""Saltend North"", ""Sheffield City"", ""Skelton Grange"", ""South Shields"", ""Stella North"", ""Tynemouth"", ""West Boldon"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
113215425_122664665,113245662.113,UNDERGROUND,132000.0,CORNWALL STREET 6024 - 122664665 TEED,SCULCOATES B 8460 (CORNWALL 1 A) - CORNWALL STREET 6024 TEED,"[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]","[""CORNWALL STREET"", ""SCULCOATES B"", ""CORNWALL A""]",unmatched,[],[],"[""SCULCOATES B"", ""CORNWALL STREET"", ""CORNWALL A""]","[""Blyth 66kV"", ""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge A"", ""Ferrybridge B"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Pitsmoor 1/2"", ""Pitsmoor 3/4"", ""Saltend North"", ""Sheffield City"", ""Skelton Grange"", ""South Shields"", ""Stella North"", ""Tynemouth"", ""West Boldon"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
113215624_160696875,113245283.0,UNDERGROUND,132000.0,HULL SOUTH 5625 - 160696875,CREYKE BECK GSP 8464 (HULL SOUTH 2) - HULL SOUTH 5625,"[""HULL SOUTH"", ""CREYKE BECK GSP""]","[""HULL SOUTH"", ""CREYKE BECK GSP""]",ambiguous,"[184, 809, 810, 1376]",[],"[""CREYKE BECK SGT2"", ""HULL SOUTH"", ""CREYKE BECK SGT1"", ""CREYKE BECK GSP"", ""HULL WEST""]","[""Creyke Beck""]",Multiple Appendix rows share the same base pair
113215624_160696875,113245283.0,DUCTED,132000.0,HULL SOUTH 5625 - 160696875,CREYKE BECK GSP 8464 (HULL SOUTH 2) - HULL SOUTH 5625,"[""HULL SOUTH"", ""CREYKE BECK GSP""]","[""HULL SOUTH"", ""CREYKE BECK GSP""]",ambiguous,"[184, 809, 810, 1376]",[],"[""CREYKE BECK SGT2"", ""HULL SOUTH"", ""CREYKE BECK SGT1"", ""CREYKE BECK GSP"", ""HULL WEST""]","[""Creyke Beck""]",Multiple Appendix rows share the same base pair
