GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Bradford West,BALME STREET T1,BRADFORD T1,33.0,1.455,1.383,0.201,19.719398444171667,0.6098480835000001,Yorkshire
Bradford West,BANO-CRAC-SILS-TEE,GARGRAVE LSI,33.0,0.1,0.0,0.0,31.436722157375122,0.09499224091000001,Yorkshire
Bradford West,BANO-SALF-SILS-TEE1,SALTERFORTH T1,33.0,1.377,1.815,0.002,12.003112096452318,1.9584912110000001,Yorkshire
Bradford West,BANO-SALF-SILS-TEE2,BANO-CRAC-SALF-TEE,33.0,4.496,9.344,0.012,31.436722157375122,0.9440466309,Yorkshire
Bradford West,BING-MENS-SILS-TEE,SILSDEN ROAD LSI,33.0,8.624,17.791,0.0,23.14885904315804,5.13,Yorkshire
Bradford West,BRADFORD T2,IDLE T2,33.0,3.065,3.9,0.0,30.86514539087739,3.424100098,Yorkshire
Bradford West,BRHO-DUNK-MENS-TEE,BRAMHOPE T2,33.0,1.789,3.698,0.013,28.578838324886473,1.243095947,Yorkshire
Bradford West,BRHO-DUNK-MENS-TEE,DUNK-BRHO-LDRD-TEE,33.0,15.723,36.454,0.029,25.435166109148962,7.9912353519999995,Yorkshire
Bradford West,CRAC-INGL-SILS-TEE,BOLTON ROAD T2,33.0,12.774,26.268,0.151,25.435166109148962,8.713081055,Yorkshire
Bradford West,CROSSHILLS T1,SILSDEN T3,33.0,6.742,13.752,0.0,24.577800959402367,4.822,Yorkshire
Bradford West,CROSSROADS TEE,SOUTH STREET T1,33.0,3.013,5.08,0.033,30.579357007628527,2.6130568849999998,Yorkshire
Bradford West,CROWN STREET T2,RAWSON ROAD T2,33.0,0.685,0.868,0.0,22.520124600010544,0.7629879761,Yorkshire
Bradford West,DENH-HOLM-THOT-TEE,DENHOLME T1,33.0,2.407228946685791,4.095784664154053,0.0,23.14885904315804,1.677199951,Yorkshire
Ferrybridge B,DENH-HOLM-THOT-TEE,HOLMFIELD T1,33.0,9.292,17.609,0.0,23.14885904315804,5.670299805,Yorkshire
Bradford West,FOUR LANE ENDS T1,GIRLINGTON T1,33.0,0.918,0.739,0.125,19.719398444171667,0.7474589233000001,Yorkshire
Bradford West,FOUR LANE ENDS T2,GIRLINGTON T2,33.0,0.703999996,0.806999981,0.229000002,24.577800959402367,0.7498007813,Yorkshire
Bradford West,GAISBY LANE T2,BRADFORD T2,33.0,1.767,1.537,0.0,26.864108025393286,2.24626123,Yorkshire
Bradford West,GIRLINGTON T2,BRADFORD WEST SGT2,132.0,0.088,0.651,50.838,179.93236609348523,6.319,Yorkshire
Bradford West,GRAINCLIFFE LSI,BING-MENS-SILS-TEE,33.0,1.287,2.559,0.0,23.14885904315804,0.922,Yorkshire
Bradford West,HALLAM STREET T2,MENSTON T2,33.0,2.649,1.871,0.291,19.433610060922803,2.228298584,Yorkshire
Bradford West,HALS-KIRD-SHIP-TEE,HALLAM STREET T1,33.0,3.115,6.63,0.0,28.635996001536245,2.924,Yorkshire
Elland,HOLM-HALF-QUEB-TEE,HALIFAX GT1,33.0,3.908,7.904,0.006,23.663278133006,3.224700195,Yorkshire
Ferrybridge B,HOLM-HALF-QUEB-TEE,HOLMFIELD T1,33.0,2.974,6.087,0.031,28.007261558388745,1.6431518550000002,Yorkshire
Bradford West,ILKLEY T1,CHEL-ILKL-SILS-TEE,33.0,7.124,12.408,0.0,22.520124600010544,4.665399902,Yorkshire
Bradford West,ILKLEY T2,SILSDEN T2,33.0,10.632,18.728,0.0,21.719917126913717,6.770200195,Yorkshire
Bradford West,KEIGHLEY T1,SILSDEN T1,132.0,0.967,2.144,0.488,114.54398400614498,9.573580078,Yorkshire
Bradford West,LEGRAMS MILL LANE T1,SAINT STREET T1,33.0,1.481,1.247,0.0,19.033506324374393,1.358,Yorkshire
Bradford West,LEGRAMS MILL LANE T2,GIRLINGTON T2,33.0,1.502,1.296,0.224,25.149377725900095,0.7314441528,Yorkshire
Bradford West,MANCHESTER ROAD T2,BRADFORD T2,33.0,1.983,1.878,0.0,19.033506324374393,1.9898000489999998,Yorkshire
Bradford West,MENSTON T1,CHEVIN END T1,33.0,0.667,0.868,0.148,22.005705510162585,0.8263641357,Yorkshire
Bradford West,MENSTON T2,BING-KIRD-MENS-TEE,33.0,2.015,4.937,0.0,15.775518755337332,4.260700195,Yorkshire
Bradford West,MENSTON T2,BRHO-DUNK-MENS-TEE,33.0,12.04800034,24.84600067,0.039999999,15.775518755337332,6.6455654299999996,Yorkshire
Bradford West,MENSTON T2,CHEVIN END T2,33.0,0.667,0.868,0.148,26.864108025393286,1.150456787,Yorkshire
Bradford West,MOORSIDE ROAD T1,BRADFORD T1,33.0,2.309000015,1.907999992,0.662,25.149377725900095,2.364313477,Yorkshire
Bradford West,NORTH AVENUE T1,MENSTON T1,33.0,5.058,10.291,0.303,25.149377725900095,3.574757813,Yorkshire
Bradford West,QUEENSBURY T1,HOLM-HALF-QUEB-TEE,33.0,3.272,6.728,0.008,31.436722157375122,1.622619507,Yorkshire
Bradford West,RAWSON ROAD T1,BRADFORD T1,33.0,1.206,1.54,0.0,29.49336115128284,1.353500122,Yorkshire
