S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
BLYTH,Fawdon,66.0,Fawdon,22.0,Yy0,2.93,74.51,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Fawdon T1,Primary,
BLYTH,Cramlington T4,66.0,"Cramlington (T2,T4)",11.5,Dy11,3.68,94.51,Not given for Northeast,-15.0,6.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Cramlington T2 T4,Primary,
BLYTH,Cramlington T3,66.0,"Cramlington (T1,T3)",11.5,Dy11,4.86,83.0,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Cramlington T1 T3,Primary,
BLYTH,Cramlington T2,66.0,"Cramlington (T2,T4)",11.5,Dy11,4.39,82.53,Not given for Northeast,-15.0,6.0,19.0,NOT KNOWN,Solid / Impedance,Northeast,Cramlington T2 T4,Primary,
BLYTH,West Hartford T2,66.0,West Hartford,11.5,Dy11,8.08,71.21,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,West Hartford,Primary,
BLYTH,West Hartford T1,66.0,West Hartford,11.5,Dy11,7.71,71.33,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,West Hartford,Primary,
BLYTH,Warkworth T2,66.0,Warkworth,22.0,Yy0,3.1,56.6,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Warkworth,Primary,
BLYTH,Wansbeck T1,66.0,Wansbeck,11.5,Dy11,3.37,74.6,Not given for Northeast,-15.0,6.0,36.0,18,Solid / Impedance,Northeast,Wansbeck,Primary,
BLYTH,Seghill T2,66.0,Seghill,11.5,Dy11,7.71,71.33,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,Seghill,Primary,
BLYTH,Seaton Burn,66.0,Seaton Burn,22.0,Yy0,3.08,58.0,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Seaton Burn T1,Primary,
BLYTH,Reservoir T2,66.0,Reservoir,22.0,Yy0,3.68,63.3,Not given for Northeast,-10.5,10.5,30.0,NOT KNOWN,Solid / Impedance,Northeast,Reservoir,Primary,
BLYTH,Maddison Street T2,66.0,Maddison Street,11.5,Dy11,4.79,97.17,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Maddison Street,Primary,
BLYTH,Maddison Street T1,66.0,Maddison Street,11.5,Dy11,5.07,111.58,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Maddison Street,Primary,
BLYTH,Lynemouth T2,66.0,Lynemouth,22.0,Yy0,2.35,48.36,Not given for Northeast,-10.5,10.5,37.5,37.5,Solid / Impedance,Northeast,Lynemouth,Primary,
BLYTH,Linton GT2,132.0,Linton GT2,66.0,Yy0,1.03,29.0,Not given for Northeast,-20.0,10.0,60.0,60,Solid / Impedance,Northeast,Linton,BSP,
BRADFORD WEST,HAWORTH T1,33.0,Not given for Yorkshire,11.5,Yy0,7.56,97.75,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Haworth 1,Primary,
BRADFORD WEST,THORNTON T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,81.3,81.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Thornton,Primary,
BRADFORD WEST,SOUTH STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,92.7,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,South Street,Primary,"54.906140015511546, -1.3861413588599212"
BRADFORD WEST,SKIPTON T2,33.0,Not given for Yorkshire,11.5,Yy0,7.89,94.65,583.88,-20.0,10.0,30.0,30,Impedance,Yorkshire,Skipton,Primary,
