transformer_index,transformer_group,candidate_name,candidate_key,transformer_substation,primary_voltage_kv,secondary_voltage_kv,rating_mva,site_asset_number,site_name
0,BLYTH,Fawdon,FAWDON,Fawdon T1,66.0,22.0,25.0,SITE-00229082,FAWDON
1,BLYTH,Cramlington T4,CRAMLINGTON T4,Cramlington T2 T4,66.0,11.5,24.0,SITE-00228770,CRAMLINGTON
2,BLYTH,Cramlington T3,CRAMLINGTON T3,Cramlington T1 T3,66.0,11.5,18.75,SITE-00228770,CRAMLINGTON
3,BLYTH,Cramlington T2,CRAMLINGTON T2,Cramlington T2 T4,66.0,11.5,19.0,SITE-00228770,CRAMLINGTON
4,BLYTH,West Hartford T2,HARTFORD T2 WEST,West Hartford,66.0,11.5,24.0,SITE-00237904,WEST HARTFORD
5,BLYTH,West Hartford T1,HARTFORD T1 WEST,West Hartford,66.0,11.5,24.0,SITE-00237904,WEST HARTFORD
6,BLYTH,Warkworth T2,T2 WARKWORTH,Warkworth,66.0,22.0,25.0,SITE-00232652,WARKWORTH
7,BLYTH,Wansbeck T1,T1 WANSBECK,Wansbeck,66.0,11.5,36.0,SITE-00234273,WANSBECK
8,BLYTH,Seghill T2,SEGHILL T2,Seghill,66.0,11.5,32.0,SITE-00238221,SEGHILL
9,BLYTH,Seaton Burn,BURN SEATON,Seaton Burn T1,66.0,22.0,25.0,SITE-00228771,SEATON BURN
10,BLYTH,Reservoir T2,RESERVOIR T2,Reservoir,66.0,22.0,30.0,SITE-00233337,RESERVOIR
11,BLYTH,Maddison Street T2,MADDISON STREET T2,Maddison Street,66.0,11.5,24.0,SITE-00233258,MADDISON STREET
12,BLYTH,Maddison Street T1,MADDISON STREET T1,Maddison Street,66.0,11.5,24.0,SITE-00233258,MADDISON STREET
13,BLYTH,Lynemouth T2,LYNEMOUTH T2,Lynemouth,66.0,22.0,37.5,SITE-00233257,LYNEMOUTH
14,BLYTH,Linton GT2,GT2 LINTON,Linton,132.0,66.0,60.0,SITE-00233255,LINTON
16,BRADFORD WEST,Thornton,THORNTON,Thornton,33.0,11.0,18.75,SITE-00233867,THORNTON DALE
17,BRADFORD WEST,South Street,SOUTH STREET,South Street,33.0,11.0,23.0,SITE-00266786,SOUTH STREET 1696
18,BRADFORD WEST,Skipton,SKIPTON,Skipton,33.0,11.5,30.0,SITE-00269490,SKIPTON ROAD 1755
19,BRADFORD WEST,Silsden,SILSDEN,Silsden,132.0,33.0,90.0,SITE-00268252,SILSDEN 6130
20,BRADFORD WEST,Salterforth,SALTERFORTH,Salterforth,33.0,11.0,24.0,SITE-00271131,EARBY ROAD SALTERFORTH 1772
21,BRADFORD WEST,Saint Street,SAINT STREET,Saint Street,33.0,11.0,23.0,SITE-00266701,SAINT STREET PRIM 72
22,BRADFORD WEST,Rawson Road,RAWSON ROAD,Rawson Road,33.0,11.0,23.0,SITE-00273468,RAWSON ROAD 1260
23,BRADFORD WEST,Pool,POOL,Pool,33.0,11.5,24.0,SITE-00266881,POOL 5190
24,BRADFORD WEST,North Avenue,AVENUE NORTH,North Avenue,33.0,11.0,18.75,SITE-00266915,NORTH AVENUE 5189
25,BRADFORD WEST,Nabwood,NABWOOD,Nabwood,33.0,11.0,23.0,SITE-00266746,NABWOOD 1693
26,BRADFORD WEST,Moorside Road,MOORSIDE ROAD,Moorside Road,33.0,11.0,18.75,SITE-00266744,MOORSIDE ROAD 1094
27,BRADFORD WEST,Moorside Road,MOORSIDE ROAD,Moorside Road,33.0,11.0,18.75,SITE-00266744,MOORSIDE ROAD 1094
28,BRADFORD WEST,Manchester Road,MANCHESTER ROAD,Manchester Road,33.0,11.0,24.0,SITE-00266645,MANCHESTER ROAD 1128
29,BRADFORD WEST,Kirk Drive,DRIVE KIRK,Kirk Drive,33.0,11.5,24.0,SITE-00271227,KIRK DRIVE 5186
30,BRADFORD WEST,KILLINGHALL ROAD,KILLINGHALL ROAD,Killinghall Road,33.0,11.0,24.0,SITE-00273292,KILLINGHALL ROAD 944
31,BRADFORD WEST,Keighley,KEIGHLEY,Keighley,132.0,11.0,30.0,SITE-00271694,KEIGHLEY 6132
32,BRADFORD WEST,Keighley,KEIGHLEY,Keighley,132.0,11.0,30.0,SITE-00271694,KEIGHLEY 6132
33,BRADFORD WEST,Ilkley,ILKLEY,Ilkley,33.0,11.0,18.75,SITE-00271420,ILKLEY 5187
34,BRADFORD WEST,Holmfield,HOLMFIELD,Holmfield,132.0,33.0,90.0,SITE-00270736,HOLMFIELD 12
35,BRADFORD WEST,Girlington,GIRLINGTON,Girlington,132.0,33.0,90.0,SITE-00271697,GIRLINGTON 1526
36,BRADFORD WEST,Four Lane Ends,ENDS FOUR LANE,Four Lane Ends,33.0,11.0,23.0,SITE-00272219,FOUR LANE ENDS 105
37,BRADFORD WEST,Crown Street,CROWN STREET,Crown Street,33.0,11.0,23.0,SITE-00272414,CROWN STREET 560
38,BRADFORD WEST,Crosshills,CROSSHILLS,Crosshills,33.0,11.0,12.5,SITE-00266381,CROSSHILLS 1687
39,BRADFORD WEST,Bolton Road,BOLTON ROAD,Bolton Road,33.0,11.0,12.5,SITE-00266781,BOLTON ROAD 1685
40,BRADFORD WEST,Bingley 33/11kV,BINGLEY,Bingley 33/11kV,33.0,11.5,24.0,SITE-00266797,BINGLEY 6131
41,BRADFORD WEST,Bingley 33/11kV,BINGLEY,Bingley 33/11kV,33.0,11.5,24.0,SITE-00266797,BINGLEY 6131
42,BRADFORD WEST,Bingley 132/33kV,BINGLEY,Bingley 132/33kV,132.0,33.0,90.0,SITE-00266797,BINGLEY 6131
43,BRADFORD WEST,Airedale Road,AIREDALE ROAD,Airedale Road,33.0,11.0,18.75,SITE-00266640,AIREDALE ROAD 1682
44,BRADFORD WEST,Airedale Road,AIREDALE ROAD,Airedale Road,33.0,11.0,18.75,SITE-00266640,AIREDALE ROAD 1682
46,CREYKE BECK,West Docks,DOCKS WEST,West Docks,33.0,11.0,23.0,SITE-00266684,WEST DOCK 3638
47,CREYKE BECK,Tiverton Road,ROAD TIVERTON,Tiverton Road,33.0,11.0,23.0,SITE-00266179,TIVERTON ROAD 5630
48,CREYKE BECK,Spark Mill Lane,LANE MILL SPARK,Spark Mill Lane,33.0,11.0,23.0,SITE-00266794,SPARK MILL LANE 5629
49,CREYKE BECK,Southwood Road,ROAD SOUTHWOOD,Southwood Road,33.0,11.0,23.0,SITE-00268046,SOUTHWOOD ROAD 5628
50,CREYKE BECK,SOUTHGATE,SOUTHGATE,Southgate,33.0,11.0,23.0,SITE-00268156,SOUTHGATE 5444
51,CREYKE BECK,Skillings Lane,LANE SKILLINGS,Skillings Lane,33.0,11.0,23.0,SITE-00272498,SKILLINGS LANE 8028
52,CREYKE BECK,Plangeo,PLANGEO,Plangeo,33.0,11.0,24.0,SITE-00272422,PLANGEO 651
53,CREYKE BECK,Martongate,MARTONGATE,Martongate,66.0,11.0,12.0,SITE-00271698,MARTONGATE 6104
54,CREYKE BECK,Hunmanby,HUNMANBY,Hunmanby,66.0,11.0,24.0,SITE-00272416,HUNMANBY 1507
55,CREYKE BECK,Hunmanby,HUNMANBY,Hunmanby,66.0,11.0,24.0,SITE-00272416,HUNMANBY 1507
56,CREYKE BECK,Hull South,HULL SOUTH,Hull South,132.0,33.0,90.0,SITE-00268251,HULL SOUTH 5625
57,CREYKE BECK,First Avenue,AVENUE FIRST,First Avenue,33.0,11.0,24.0,SITE-00266745,FIRST AVENUE 6005
58,CREYKE BECK,Driffield,DRIFFIELD,Driffield,66.0,11.5,24.0,SITE-00269225,BURNBY DRIFFIELD 10727
59,CREYKE BECK,Driffield,DRIFFIELD,Driffield,132.0,66.0,90.0,SITE-00269225,BURNBY DRIFFIELD 10727
60,CREYKE BECK,Cornwall Street,CORNWALL STREET,Cornwall Street,132.0,11.0,30.0,SITE-00266875,CORNWALL STREET 6024
61,CREYKE BECK,Cornwall Street,CORNWALL STREET,Cornwall Street,132.0,11.0,30.0,SITE-00266875,CORNWALL STREET 6024
62,CREYKE BECK,Bransholme,BRANSHOLME,Bransholme,132.0,33.0,90.0,SITE-00270743,BRANSHOLME 5781
63,CREYKE BECK,Beverley 132/33kV,BEVERLEY,Beverley 132/33kV,132.0,66.0,60.0,SITE-00268144,BEVERLEY 5616
64,CREYKE BECK,Alfred Gelder Street,ALFRED GELDER STREET,Alfred Gelder Street,33.0,11.0,24.0,SITE-00268048,ALFRED GELDER STREET 5923
65,DRAX,Thorpe Road,ROAD THORPE,Thorpe Road,33.0,11.0,24.0,SITE-00266171,THORPE ROAD 7424
66,DRAX,Olympia Mills,MILLS OLYMPIA,Olympia Mills,33.0,11.5,30.0,SITE-00271702,OLYMPIA MILLS 2485
67,ELLAND,Swan Bank Lane,BANK LANE SWAN,Swan Bank Lane,33.0,11.0,24.0,SITE-00272418,SWAN BANK LANE 23
68,ELLAND,Swan Bank Lane,BANK LANE SWAN,Swan Bank Lane,33.0,11.0,24.0,SITE-00272418,SWAN BANK LANE 23
69,ELLAND,Spenborough,SPENBOROUGH,Spenborough,33.0,11.5,30.0,SITE-00266265,SPENBOROUGH (NEW) 22
70,ELLAND,Sowerby Bridge 33/11kV T2,BRIDGE SOWERBY T2,Sowerby Bridge 33/11kV,33.0,11.0,24.0,SITE-00250212,SOWERBY
71,ELLAND,Sowerby Bridge 132/33kV GT1,BRIDGE GT1 SOWERBY,Sowerby Bridge 132/33kV,132.0,33.0,90.0,SITE-00250212,SOWERBY
72,ELLAND,Snelsins Lane,LANE SNELSINS,Snelsins Lane,33.0,11.0,18.75,SITE-00272526,SNELSINS LANE 20
73,ELLAND,Snelsins Lane,LANE SNELSINS,Snelsins Lane,33.0,11.0,18.75,SITE-00272526,SNELSINS LANE 20
74,ELLAND,Scholes,SCHOLES,Scholes,33.0,11.0,24.0,SITE-00266793,SCHOLES 20
75,ELLAND,Salterhebble,SALTERHEBBLE,Salterhebble,33.0,11.0,24.0,SITE-00266372,SALTERHEBBLE 19
76,ELLAND,Prospect Road,PROSPECT ROAD,Prospect Road,33.0,11.0,23.0,SITE-00272327,PROSPECT ROAD 33/11KV 19
77,ELLAND,Park Road,PARK ROAD,Park Road,33.0,11.0,18.75,SITE-00271717,TINSLEY PARK ROAD 619
78,ELLAND,Oakes Road,OAKES ROAD,Oakes Road,33.0,11.0,24.0,SITE-00272404,OAKES ROAD 17
79,ELLAND,Meltham,MELTHAM,Meltham,33.0,11.0,23.0,SITE-00266667,MELTHAM 15
80,ELLAND,Lindley,LINDLEY,Lindley,132.0,33.0,90.0,SITE-00270923,LINDLEY 13
81,ELLAND,Horbury,HORBURY,Horbury,33.0,11.5,24.0,SITE-00266539,HORBURY 6050
82,ELLAND,Hazlehead,HAZLEHEAD,Hazlehead,33.0,11.0,24.0,SITE-00271708,HAZLEHEAD 9
83,ELLAND,Halifax 132/33kV,HALIFAX,Halifax 132/33kV,132.0,33.0,90.0,SITE-00270926,HALIFAX 132/33KV 9
84,ELLAND,Grove Street,GROVE STREET,Grove Street,33.0,11.0,23.0,SITE-00273287,GROVE STREET 8
85,ELLAND,Elland 33/11kV,ELLAND,Elland 33/11kV,33.0,11.0,18.75,SITE-00266647,ELLAND 6
86,ELLAND,Elland 33/11kV,ELLAND,Elland 33/11kV,33.0,11.0,18.75,SITE-00266647,ELLAND 6
87,ELLAND,Brighouse 33/11kV,BRIGHOUSE,Brighouse 33/11kV,33.0,11.0,12.0,SITE-00266673,BRIGHOUSE 3
